"branchCodeNo";"STATE";"Address";"CITY"
1;"West Bengal and Andaman& Nicobar";"Kolkata Main Branch,Samriddhi Bhawan1, Strand Road, Kolkata, West Bengal,District :Kolkata. State: West Bengal.Pin : 700001";"Kolkata"
2;"Tripura";"Agartala BranchHari Ganga Basak Road,Agartala, District: Tripura (W), Tripura, Pin: 799001";"Agartala"
41;"Odisha";"Bhubaneswar Main BranchP.B.No.14, BhubaneswarBhubaneswar, Orissa. District : KhurdaState: Odisha, Pin : 751001";"Bhubaneswar"
78;"Assam";"Guwahati Branch,Pan Bazar,MG Road, Kamrup, Guwahati.  Pin: 781001";"Guwahati"
92;"Manipur";"lmphal BranchM G Avenue, lmphal west, Manipur, Pin: 795001";"Imphal"
125;"Uttar Pradesh";"Lucknow Main Branch,Tarawali Kothi, Motimahal Marg,Hazratganj, Lucknow, Uttar PradeshDistrict : Lucknow, State: Uttar PradeshPin:  226001";"Lucknow"
152;"Bihar";"Patna Main BranchWest Gandhi Maidhan, Patna, Bihar.Pin: 800001";"Patna"
167;"Jharkhand";"Ranchi BranchCourt Compound, RanchiJharkhand, District : Ranchi,State: Jharkhand, Pin : 834001";"Ranchi"
181;"Meghalaya";"Shillong BranchMG road, Near General PO Shillong,District: Khasi Hills (E), Meghalaya, Pin: 793001";"Shilong"
214;"Nagaland";"Kohima BranchNear deputy commissioner's officeKohima, Nagaland, Pin: 797001";"Kohima"
232;"Sikkim";"Gangtok BranchM G Marg, Gangtok SIKKIMDist: East Sikkim, State : Sikkim Pin : 737101";"Gangtok"
300;"Maharashtra";"Mumbai Main Branch,Mumbai Samachar MargHorniman Circle, Fort, Mumbai,Maharashtra   Pin : 400001";"Mumbai"
461;"Chhattisgarh";"Raipur Main BranchP.B.N0.29/61, Jaistambh Chowk, Raipur,District : Raipur, State : Chhatisgarh, Pin: 492001";"Raipur"
509;"Goa, Lakshadweep";"Panaji BranchOpp : Hotel Mandovi, Dayanand,Dayanand Bandodkar Marg,Panaji, Goa . District : North Goa, State : Goa,Pin: 403001";"Panaji"
628;"Haryana, Punjab and Chandigarh";"Chandigarh Main Branch,SCO 43-48, Banking Square,Sector-17B, Chandigarh, State: Chandigarh,Pin : 160017";"Chandigarh"
630;"Uttarakhand";"Dehra Dun Main Branch4, Convent Road, DehradunUttarakhand , State: Uttarakhand Pin : 248001";"Dehradun"
656;"Rajasthan";"Jaipur Main Branch, P.B.No.72,Sanganeri Gate, Jaipur, RajasthanDistrict :Jaipur, State: Rajasthan,  Pin : 302003";"Jaipur"
691;"Delhi";"New Delhi Main Branch,11, Parliament Street, New Delhi – 110001";"New Delhi"
718;"HimachalPradesh";"Shimla Main BranchNear Kali Bari Temple, The Mall, ShimlaHimachal Pradesh, District : ShimlaState: Himachal Pradesh, Pin : 171003";"Shimla"
800;"Tamil Nadu and Puducherry";"Chennai Main Branch336/166, Thambuchetty  Street, Parrys,Chennai. State: Tamil Nadu   Pin : 600001";"Chennai"
813;"Karnataka";"Bengaluru Main Branch,Post Bag No.5310,St. Marks Road, Bangalore, District : Bangalore Urban,State : Karnataka, Pin : 560001";"Bengaluru"
847;"Telangana";"Hyderabad Main BranchBank Street, Koti, Hyderabad.District : Hyderabad, State: Telangana Pin: 500095";"Hyderabad"
941;"Kerala";"Thiruvananthapuram BranchP.B.No.14, M.G.Road,Thiruvananthapuram, District : Trivandrum,State: Kerala. Pin : 695001";"Thiruvananthapuram"
952;"AndhraPradesh";"Visakhapatnam BranchRednam Gardens, Jail Road, Junction,Opp. Pages/Vodaphone Off ,Visakhapatnam, VisakhapatnamDistrict: Visakhapatnam, State : Andhra PradeshPin : 530002";"Visakhapatnam"
1308;"MadhyaPradesh";"Bhopal Main Branch,T.T.Nagar,Bhopal-462003, Bhopal,Madhya Pradesh, District : Bhopal,State: Madhya Pradesh. Pin : 462003";"Bhopal"
1355;"Gujarat, Dadar & Nagar Haveliand Daman & Diu";"Gandhinagar Branch, I Floor,Zonal Office, Sector 10 B GandhinagarDistt: Gandhinagar, Gujarat. Pin: 382010.";"Gandhinagar"
1539;"Mizoram";"Aizawl BranchSolomns caveDistrict: Aizawl. Mizoram,  Pin: 796001";"Aizawl"
2295;"Jammu andKashmir";"Badami Bagh (Srinagar) BranchBadami Bagh Cantonment, Srinagar, KashmirDist : Badgam, State: Jammu & KashmirPin : 190001";"Srinagar"
6091;"ArunachalPradesh";"ltanagar BranchTI Marg,VIP Road Bank Tinali, ltanagar,Arunachal PradeshDistrict : PapumpareState : Arunachal Pradesh Pin : 791111";"Itanagar"
